patch_id,priority,action,group_id,implementation_state,why,missing_fields,partial_fields,recommended_files,technical_risk
T0119_T0111B_NATIVE_RETEST_SOURCE_FIELDS,P0,PATCH_NOW,NATIVE_RETEST_JUDGE,B9_RETEST_NOT_NATIVE_ENOUGH,"Le retest doit etre produit nativement par le summarizer, pas reconstruit apres coup.",T0111_NATIVE_RETEST_SOURCE_FIELDS_V0,,"['pf_t009_sequence_summarizer.py', 'tests/test_t0111b_native_retest_source_fields.py']",risque de verdict retest partiel et de faux positif de similarite B6
T0119_V1_WHY_HOW_NATIVE,P0,PATCH_NOW,V1_WHY_HOW_NATIVE,B9_MISSING_NATIVE_CONTRACT,"Chaque moment explique ce qui se passe, pourquoi cela compte, comment c'est arrive, le mecanisme et les preuves.",what_happens_fr;why_it_matters_fr;how_it_happened_fr;mechanism_fr;proof_summary_fr,,"['pf_t009_sequence_summarizer.py', 'tests/test_t009_sequence_summarizer_v1_why_how.py']",film lisible mais explication native absente
T0119_V2_SCENE_CAUSALITY_NATIVE,P0,PATCH_NOW,V2_SCENE_CAUSALITY_NATIVE,B9_MISSING_NATIVE_CONTRACT,Relier les moments en cause -> reaction -> consequence -> memoire.,previous_context_fr;cause_fr;reaction_fr;consequence_fr;memory_shift_fr;retest_role_fr,,"['pf_t009_sequence_summarizer.py', 'tests/test_t009_sequence_summarizer_v2_causality.py']",moments deconnectes; cause/reaction/consequence non tracables
T0119_V3_FRACTAL_SCENE_NATIVE,P0,PATCH_NOW,V3_FRACTAL_SCENE_NATIVE,B9_MISSING_NATIVE_CONTRACT,Relier microfilm -> moment -> scene -> chapitre de session.,scene_id;scene_role;parent_scene;child_moments;session_chapter;fractal_reading_fr,,"['pf_t009_sequence_summarizer.py', 'tests/test_t009_sequence_summarizer_v3_fractal_scene.py']",microfilm non relie au chapitre de session
T0119_CENTER_PATH_INTERNAL_FILM,P0,PATCH_NOW,CENTER_PATH_INTERNAL_FILM,B9_MISSING_NATIVE_CONTRACT,"Eviter le piege start/end: B9 doit lire le chemin interne du centre, les excursions et les inflexions.",center_min;center_max;center_range_pips;max_favorable_excursion_pips;max_adverse_excursion_pips;center_path;inflexion_points,,"['pf_t009_sequence_summarizer.py', 'tests/test_t009_center_path_contract.py']",risque start/end: chemin interne invisible
T0119_EFFORT_RESULT_PROGRESS_NATIVE,P0,PATCH_NOW,EFFORT_RESULT_PROGRESS_NATIVE,B9_PARTIAL_NATIVE_NEEDS_HARDENING,"Classifier effort, resultat et progres sans transformer absorption en direction.",b9_progress_state;b9_effort_result_progress_reading_fr,,"['pf_t009_sequence_summarizer.py', 'tests/test_t009_effort_result_progress.py']",risque absorption lue comme direction si progress_state absent
T0119_NATIVE_RETEST_JUDGE,P0,PATCH_NOW,NATIVE_RETEST_JUDGE,B9_PARTIAL_NATIVE_NEEDS_HARDENING,"Le retest juge la zone: acceptation, echec, reintegration, zone consommee, en attente.",retest_first_touch_time;retest_last_touch_time,,"['pf_t009_sequence_summarizer.py', 'tests/test_t0111b_native_retest_source_fields.py']",risque retest reconstruit ou verdict de zone trop faible
T0119_SESSION_CONTEXT_NATIVE,P1,PATCH_NEXT,SESSION_CONTEXT_NATIVE,B9_MISSING_NATIVE_CONTRACT,"Session Memory Overlay: une scene n'a pas le meme role a Asian, London, NY ou overlap.",session;session_phase;session_bias;minutes_since_open,,"['pf_session_overlay.py', 'pf_t009_sequence_summarizer.py', 'tests/test_t009_session_context.py']",risque de comparer Asian/London/NY comme scenes equivalentes
T0119_B6_MEMORY_HANDOFF_NATIVE,P1,PATCH_NEXT,B6_MEMORY_HANDOFF_NATIVE,B9_MISSING_NATIVE_CONTRACT,"Preparer l'interface B9 -> B6: film_id, memory_family, base/reaction/projection/judgment et limites.",film_id;memory_family;base;reaction;projection;judgment;memory_candidate_reason;technical_limits,,"['pf_t009_sequence_summarizer.py', 'pf_b6_field_memory_reader.py', 'tests/test_t009_b6_handoff_contract.py']",risque de B6 handoff incomplet pour query future
T0119_SOURCE_QUALITY_NATIVE,P1,PATCH_NEXT,SOURCE_QUALITY_NATIVE,B9_PARTIAL_NATIVE_NEEDS_HARDENING,"Garder source_mode, data_visibility, confidence_cap, raw agreement et limites visibles partout.",confidence_cap;source_quality_score;source_quality_state,,"['pf_t009_sequence_summarizer.py', 'tests/test_t009_source_quality_visibility.py']",risque de durcir une lecture proxy en raw
