file,line,tokens,original_text,display_text_fr
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,2,B9_B6_AUTO_REALIGNMENT_V0,"B9_B6_AUTO_REALIGNMENT_V0,Réalignement automatique B9 vers B6,Alignement B9/B6,Brique attendue pour réaligner la scène B9 avec la mémoire comparative B6.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Réalignement automatique B9 vers B6 (B9_B6_AUTO_REALIGNMENT_V0),Réalignement automatique B9 vers B6,Alignement B9/B6,Brique attendue pour réaligner la scène B9 avec la mémoire comparative B6.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,3,B9_FRENCH_EVENT_DISPLAY_CONTRACT_V0,"B9_FRENCH_EVENT_DISPLAY_CONTRACT_V0,Contrat d'affichage français,Contrat français,Contrat de traduction français trader pour les états B9/B6.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Contrat d'affichage français (B9_FRENCH_EVENT_DISPLAY_CONTRACT_V0),Contrat d'affichage français,Contrat français,Contrat de traduction français trader pour les états B9/B6.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,4,B9_LATEST_SCENE_CANDIDATE_V0,"B9_LATEST_SCENE_CANDIDATE_V0,Dernière scène candidate B9,Scène candidate,Fichier attendu contenant la dernière scène candidate B9.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Dernière scène candidate B9 (B9_LATEST_SCENE_CANDIDATE_V0),Dernière scène candidate B9,Scène candidate,Fichier attendu contenant la dernière scène candidate B9.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,5,B9_LIVE_BRIEF_ONCE_V0,"B9_LIVE_BRIEF_ONCE_V0,Brief live unique B9,Brief live once,Fichier attendu contenant le brief live assemblé une fois.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Brief live unique B9 (B9_LIVE_BRIEF_ONCE_V0),Brief live unique B9,Brief live once,Fichier attendu contenant le brief live assemblé une fois.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,6,B9_LIVE_CHAIN_CONTRACT_BLOCKED_MISSING_INPUTS,"B9_LIVE_CHAIN_CONTRACT_BLOCKED_MISSING_INPUTS,Contrat chaîne live bloqué : entrées manquantes,Contrat bloqué,Le validateur de chaîne live ne peut pas confirmer le contrat car une ou plusieurs entrées critiques manquent.,BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Contrat chaîne live bloqué : entrées manquantes (B9_LIVE_CHAIN_CONTRACT_BLOCKED_MISSING_INPUTS),Contrat chaîne live bloqué : entrées manquantes,Contrat bloqué,Le validateur de chaîne live ne peut pas confirmer le contrat car une ou plusieurs entrées critiques manquent.,BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,7,B9_LIVE_CHAIN_DRY_RUN_BLOCKED_MISSING_INPUTS,"B9_LIVE_CHAIN_DRY_RUN_BLOCKED_MISSING_INPUTS,Chaîne live dry-run bloquée : entrées manquantes,Dry-run bloqué,""L'orchestrateur dry-run voit la chaîne, mais certaines briques nécessaires sont absentes."",BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Chaîne live dry-run bloquée : entrées manquantes (B9_LIVE_CHAIN_DRY_RUN_BLOCKED_MISSING_INPUTS),Chaîne live dry-run bloquée : entrées manquantes,Dry-run bloqué,""L'orchestrateur dry-run voit la chaîne, mais certaines briques nécessaires sont absentes."",BLOCKER,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,8,B9_LIVE_DATA_FRESHNESS_GUARD_V0,"B9_LIVE_DATA_FRESHNESS_GUARD_V0,Garde fraîcheur data live,Freshness guard,Brique chargée de vérifier la fraîcheur des données live.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Garde fraîcheur data live (B9_LIVE_DATA_FRESHNESS_GUARD_V0),Garde fraîcheur data live,Freshness guard,Brique chargée de vérifier la fraîcheur des données live.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,9,B9_LIVE_SCENE_CANDIDATE_QUEUE_V0,"B9_LIVE_SCENE_CANDIDATE_QUEUE_V0,File des scènes candidates B9,Queue scènes,Fichier attendu contenant la file des candidats live B9.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","File des scènes candidates B9 (B9_LIVE_SCENE_CANDIDATE_QUEUE_V0),File des scènes candidates B9,Queue scènes,Fichier attendu contenant la file des candidats live B9.,INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,10,B9_REALITY_BOARD_INTEGRATION_CANDIDATE_V0,"B9_REALITY_BOARD_INTEGRATION_CANDIDATE_V0,Candidat d'intégration Reality Board,Reality Board payload,""Payload candidat destiné à une surface Reality Board, sans mutation live."",INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Candidat d'intégration Reality Board (B9_REALITY_BOARD_INTEGRATION_CANDIDATE_V0),Candidat d'intégration Reality Board,Reality Board payload,""Payload candidat destiné à une surface Reality Board, sans mutation live."",INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
outputs\b9_french_display_state_hardening_v0\B9_FRENCH_DISPLAY_STATE_HARDENING_ENUMS_V0.csv,11,B9_REALITY_BOARD_SURFACE_ADAPTER_CANDIDATE_V0,"B9_REALITY_BOARD_SURFACE_ADAPTER_CANDIDATE_V0,Adaptateur de surface Reality Board,Surface adapter,""Adaptateur candidat pour préparer l'affichage, sans modifier le dashboard."",INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True","Adaptateur de surface Reality Board (B9_REALITY_BOARD_SURFACE_ADAPTER_CANDIDATE_V0),Adaptateur de surface Reality Board,Surface adapter,""Adaptateur candidat pour préparer l'affichage, sans modifier le dashboard."",INFO,Conserver l'enum moteur et ajouter un champ *_fr pour l'affichage.,True"
