case_id,status,date,time_window,film_fr,expected_b9_proof,source_limits,expected_label,false_positive_technical_risk
GTC_B9_001,B6_TO_HORODATE,2026-05-08,"Journee/cloture a recaler","Zone basse -> relachement haussier -> pullback absorbe -> cloture haute","acceptation plus haute; pullback ne casse pas provenance; cloture proche hauts","Film B6; pas microfenetre T009","RELEASE_UP_ACCEPTED / UP_CONTINUATION_ACCEPTED","Hausse tardive consommee confondue avec release acceptee"
GTC_B9_002,B6_TO_HORODATE,2026-05-11,"Apres premier leg a recaler","Fausses naissances -> premier leg -> pullback absorbe -> deuxieme jambe haussiere","B3/B2 event stack seulement; validation par pullback absorbe + reconstruction centre","Film B6; besoin replay","PULLBACK_ABSORBED / SECOND_LEG_UP_AFTER_ABSORBED_PULLBACK","Simple respiration surclassee en pullback absorbe"
GTC_B9_003,READY_T009_PRECISE,2026-05-15,"14:02-14:57","Projection haute London refusee puis migration descendante","centres glissent apres projection haute; absence acceptation haute; memoire quitte 1.338-1.339","M1_BAR_PROXY; reconstructed; raw tick requis pour piege exact","HIGH_ZONE_REJECTION / PROJECTION_REJECTED_MEMORY_SHIFTED","Pullback normal lu comme rejet haut avant confirmation par centre inferieur"
GTC_B9_004,B6_TO_HORODATE,2026-05-14,"Journee/session a recaler","Rejet haut -> reintegration echouee -> deuxieme jambe baissiere","tentative reintegration ne rehabite pas zone haute; retour sous centre","Film B6; manque fenetre T009 precise","FAILED_REINTEGRATION / COUNTER_BREATH_REJECTED","Pause confondue avec reintegration echouee"
GTC_B9_005,B6_TO_HORODATE,2026-05-13,"Apres tension inverse / dernier pic a recaler","Extension haute -> tension inverse -> rejet haut -> deuxieme jambe baissiere","dernier pic non accepte; tension inverse visible; mouvement suivant requalifie second leg","Film B6; a valider donnees fines","SECOND_LEG_DOWN / POST_HIGH_REJECTION_SECOND_LEG_DOWN","Post-high unwind classique confondu avec second leg"
GTC_B9_006,B6_TO_HORODATE,2026-05-12,"Second test bas a recaler","Release down -> zone basse touchee -> respiration inverse -> second test bas defendu","zone basse revisitee; pression basse sans progres; reaction post-low","Film B6; pas granularite B9","LOW_ZONE_DEFENDED / POST_LOW_REACTION","Ralentissement late session confondu avec zone defendue"
GTC_B9_007,READY_T009_PRECISE,2026-05-15,"08:00-08:14","London open effort visible sans progression propre","absorption elevee; failed displacement eleve; compression elevee; centre stable","M1_BAR_PROXY; effort/result approximatif","T009_MOMENT_EFFORT_WITHOUT_RESULT","Effort sans resultat declare trop tot avant cassure ulterieure"
GTC_B9_008,READY_T009_PRECISE,2026-05-15,"11:00-11:31","Pression basse par paliers; absorption + centre descendant","centres descendent; absorption/dwell eleves; memoire basse acceptee","M1_BAR_PROXY; absorption probable","T009_MOMENT_CENTER_MIGRATION_DOWN / ABSORPTION_CENTER_DOWN","Absorption interpretee comme retournement au lieu de pression qui avance"
GTC_B9_009,READY_T009_PRECISE,2026-05-15,"10:00-10:23","Vraie vague progressive; absorption + centre montant","centres 1.33506 -> 1.33742; effort produit resultat et progres","M1_BAR_PROXY; progression claire mais reconstruite","T009_MOMENT_PROGRESSIVE_WAVE / ABSORPTION_CENTER_UP","Absorption elevee classee a tort en effort sans resultat"
GTC_B9_010,READY_T009_PRECISE,2026-05-15,"13:38-13:53","Acceleration depuis zone de decision vers 1.3391","centre 1.33680 -> 1.33915; zone 1.3362-1.3366 devient base continuation","V0.1/V3 sous-detecte; besoin scene parent","T009_MOMENT_PROGRESSIVE_WAVE / FRESH_VOLUME_REACTION","Fragmentation summarizer masque la vague progressive"
GTC_B9_011,READY_T009_PRECISE,2026-05-15,"15:48-15:59 puis 16:00-17:00","Rebond correctif sans reparation durable des zones hautes","rebond vers 1.3355 mais pas reprise 1.338-1.339; memoire reste basse","M1_BAR_PROXY; confirmer par parent_scene 14-17","T009_MOMENT_CORRECTIVE_WAVE_NO_DURABLE_PROGRESS","Petite vague locale confondue avec acceptation structurelle"
