film_id,date,time_start,time_end,session,source_family,summary_recovery_type,source_mode,data_visibility,confidence_cap,moment_type,label_fr,base,reaction,projection,judgment,raw_agreement,proxy_vs_raw_verdict,proxy_raw_agreement_state,source_quality_score,source_quality,source_quality_state,b6_memory_candidate_score,b6_memory_candidate_state,raw_texture_role,raw_delta_pips,raw_range_pips,raw_tick_count,memory_family,pattern_key,why_keep_for_memory,memory_use_case,similarity_features,limits
B6FC_20260505_1413_BDE6E508,2026-05-05,2026-05-05T14:13:00+00:00,2026-05-05T14:14:00+00:00,LONDON_NY_OVERLAP,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,FLOW_BALANCED_AUCTION,Auction équilibrée proxy,Base scene: Auction équilibrée proxy (FLOW_BALANCED_AUCTION).,"Reaction raw progressive: delta -3.3 pips, range 5.5 pips, 165 ticks.","Projection partielle: mouvement utile mais encore nuance par la texture, delta/range=0.60.","Judgment technique: B6_KEEP_CANDIDATE, CONFIRMED_BY_RAW, SOURCE_QUALITY_USABLE.",CONFIRMED_BY_RAW,CONFIRMED_BY_RAW,CONFIRMED_BY_RAW,0.760,SOURCE_QUALITY_USABLE,SOURCE_QUALITY_USABLE,0.880,B6_KEEP_CANDIDATE,RAW_PROGRESS_CONFIRMED,-3.3,5.5,165,DIRECTIONAL_PROGRESS_MEMORY,DIRECTIONAL_PROGRESS_MEMORY|FORCE_SNAPSHOT_DERIVED|M1_BAR_PROXY|CONFIRMED_BY_RAW|RAW_PROGRESS_CONFIRMED|SOURCE_QUALITY_USABLE,"KEEP memoire: DIRECTIONAL_PROGRESS_MEMORY; KEEP prioritaire: scene confirmee raw, texture RAW_PROGRESS_CONFIRMED, provenance FORCE_SNAPSHOT_DERIVED, score memoire 0.880.",Comparer les scenes de progression / deplacement directionnel avec role raw explicite.,family=DIRECTIONAL_PROGRESS_MEMORY; session=LONDON_NY_OVERLAP; raw_texture=RAW_PROGRESS_CONFIRMED; raw_agreement=CONFIRMED_BY_RAW; source_quality=SOURCE_QUALITY_USABLE; source_family=FORCE_SNAPSHOT_DERIVED; source_mode=M1_BAR_PROXY,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; CONFIRMED_BY_RAW: raw supports proxy reading; source_quality_raw=PARTIAL_PROXY_COVERAGE; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260505_2306_4093A4AF,2026-05-05,2026-05-05T23:06:00+00:00,2026-05-06T00:00:00+00:00,LATE_US_ASIA_HANDOVER,FORCE_SNAPSHOT_DERIVED,FORCE_SNAPSHOT_DERIVED,M1_BAR_PROXY,RECONSTRUCTED_FORCE_SNAPSHOT_DERIVED,0.35,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,Base scene: Déplacement directionnel proxy (FLOW_DIRECTIONAL_DISPLACEMENT).,"Reaction raw frictionnelle: activite lisible avec deplacement contraint, delta 0 pips, range 0 pips, 1 ticks.",Projection non mesurable: range raw nul ou absent.,"KEEP nuance: scene utile, raw nuance la lecture sans la durcir en confirmation.",NUANCED_BY_RAW,NUANCED_BY_RAW,NUANCED_BY_RAW,0.680,SOURCE_QUALITY_USABLE,SOURCE_QUALITY_USABLE,0.770,B6_KEEP_CANDIDATE,RAW_FRICTION_CONFIRMED,0.0,0.0,1,FRICTION_ABSORPTION_MEMORY,FRICTION_ABSORPTION_MEMORY|FORCE_SNAPSHOT_DERIVED|M1_BAR_PROXY|NUANCED_BY_RAW|RAW_FRICTION_CONFIRMED|SOURCE_QUALITY_USABLE,KEEP memoire: FRICTION_ABSORPTION_MEMORY; KEEP nuance: raw nuance la scene mais qualite/texture suffisantes pour comparaison B6; provenance FORCE_SNAPSHOT_DERIVED; score memoire 0.770.,"Comparer les scenes d'effort visible sans resultat directionnel propre, absorption ou friction locale.",family=FRICTION_ABSORPTION_MEMORY; session=LATE_US_ASIA_HANDOVER; raw_texture=RAW_FRICTION_CONFIRMED; raw_agreement=NUANCED_BY_RAW; source_quality=SOURCE_QUALITY_USABLE; source_family=FORCE_SNAPSHOT_DERIVED; source_mode=M1_BAR_PROXY,FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=PARTIAL_PROXY_COVERAGE; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0001_D0B23C7C,2026-05-06,2026-05-06T00:01:00+00:00,2026-05-06T00:03:00+00:00,ASIAN_SESSION,RECOVERED_EXISTING_B9_SUMMARY,RECOVERED_EXISTING_B9_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,RECOVERED_FRICTION_ABSORPTION_LIKE,Friction type absorption: effort visible sans résultat directionnel propre.,Base scene: Friction type absorption: effort visible sans résultat directionnel propre. (RECOVERED_FRICTION_ABSORPTION_LIKE).,"Reaction raw frictionnelle: activite lisible avec deplacement contraint, delta -0.1 pips, range 3.7 pips, 218 ticks.","Projection faible: effort/rotation absorbe le deplacement, delta/range=0.03.","KEEP nuance: scene utile, raw nuance la lecture sans la durcir en confirmation.",NUANCED_BY_RAW,NUANCED_BY_RAW,NUANCED_BY_RAW,0.860,SOURCE_QUALITY_STRONG,SOURCE_QUALITY_STRONG,0.950,B6_KEEP_CANDIDATE,RAW_FRICTION_CONFIRMED,-0.1,3.7,218,FRICTION_ABSORPTION_MEMORY,FRICTION_ABSORPTION_MEMORY|RECOVERED_EXISTING_B9_SUMMARY|M1_BAR_PROXY|NUANCED_BY_RAW|RAW_FRICTION_CONFIRMED|SOURCE_QUALITY_STRONG,KEEP memoire: FRICTION_ABSORPTION_MEMORY; KEEP nuance: raw nuance la scene mais qualite/texture suffisantes pour comparaison B6; provenance RECOVERED_EXISTING_B9_SUMMARY; score memoire 0.950.,"Comparer les scenes d'effort visible sans resultat directionnel propre, absorption ou friction locale.",family=FRICTION_ABSORPTION_MEMORY; session=ASIAN_SESSION; raw_texture=RAW_FRICTION_CONFIRMED; raw_agreement=NUANCED_BY_RAW; source_quality=SOURCE_QUALITY_STRONG; source_family=RECOVERED_EXISTING_B9_SUMMARY; source_mode=M1_BAR_PROXY,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0003_EDF8CA3B,2026-05-06,2026-05-06T00:03:00+00:00,2026-05-06T00:04:00+00:00,ASIAN_SESSION,RECOVERED_EXISTING_B9_SUMMARY,RECOVERED_EXISTING_B9_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,RECOVERED_FRICTION_ABSORPTION_LIKE,"Flux mixte: conserver comme lecture de contexte, pas comme décision.","Base scene: Flux mixte: conserver comme lecture de contexte, pas comme décision. (RECOVERED_FRICTION_ABSORPTION_LIKE).","Reaction raw frictionnelle: activite lisible avec deplacement contraint, delta 0.7 pips, range 1.7 pips, 108 ticks.","Projection partielle: mouvement utile mais encore nuance par la texture, delta/range=0.41.","KEEP nuance: scene utile, raw nuance la lecture sans la durcir en confirmation.",NUANCED_BY_RAW,NUANCED_BY_RAW,NUANCED_BY_RAW,0.860,SOURCE_QUALITY_STRONG,SOURCE_QUALITY_STRONG,0.950,B6_KEEP_CANDIDATE,RAW_FRICTION_CONFIRMED,0.7,1.7,108,FRICTION_ABSORPTION_MEMORY,FRICTION_ABSORPTION_MEMORY|RECOVERED_EXISTING_B9_SUMMARY|M1_BAR_PROXY|NUANCED_BY_RAW|RAW_FRICTION_CONFIRMED|SOURCE_QUALITY_STRONG,KEEP memoire: FRICTION_ABSORPTION_MEMORY; KEEP nuance: raw nuance la scene mais qualite/texture suffisantes pour comparaison B6; provenance RECOVERED_EXISTING_B9_SUMMARY; score memoire 0.950.,"Comparer les scenes d'effort visible sans resultat directionnel propre, absorption ou friction locale.",family=FRICTION_ABSORPTION_MEMORY; session=ASIAN_SESSION; raw_texture=RAW_FRICTION_CONFIRMED; raw_agreement=NUANCED_BY_RAW; source_quality=SOURCE_QUALITY_STRONG; source_family=RECOVERED_EXISTING_B9_SUMMARY; source_mode=M1_BAR_PROXY,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0004_BE4575C7,2026-05-06,2026-05-06T00:04:00+00:00,2026-05-06T00:05:00+00:00,ASIAN_SESSION,RECOVERED_EXISTING_B9_SUMMARY,RECOVERED_EXISTING_B9_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,RECOVERED_FRICTION_ABSORPTION_LIKE,Friction type absorption: effort visible sans résultat directionnel propre.,Base scene: Friction type absorption: effort visible sans résultat directionnel propre. (RECOVERED_FRICTION_ABSORPTION_LIKE).,"Reaction raw frictionnelle: activite lisible avec deplacement contraint, delta -0.1 pips, range 2.5 pips, 98 ticks.","Projection faible: effort/rotation absorbe le deplacement, delta/range=0.04.","KEEP nuance: scene utile, raw nuance la lecture sans la durcir en confirmation.",NUANCED_BY_RAW,NUANCED_BY_RAW,NUANCED_BY_RAW,0.860,SOURCE_QUALITY_STRONG,SOURCE_QUALITY_STRONG,0.950,B6_KEEP_CANDIDATE,RAW_FRICTION_CONFIRMED,-0.1,2.5,98,FRICTION_ABSORPTION_MEMORY,FRICTION_ABSORPTION_MEMORY|RECOVERED_EXISTING_B9_SUMMARY|M1_BAR_PROXY|NUANCED_BY_RAW|RAW_FRICTION_CONFIRMED|SOURCE_QUALITY_STRONG,KEEP memoire: FRICTION_ABSORPTION_MEMORY; KEEP nuance: raw nuance la scene mais qualite/texture suffisantes pour comparaison B6; provenance RECOVERED_EXISTING_B9_SUMMARY; score memoire 0.950.,"Comparer les scenes d'effort visible sans resultat directionnel propre, absorption ou friction locale.",family=FRICTION_ABSORPTION_MEMORY; session=ASIAN_SESSION; raw_texture=RAW_FRICTION_CONFIRMED; raw_agreement=NUANCED_BY_RAW; source_quality=SOURCE_QUALITY_STRONG; source_family=RECOVERED_EXISTING_B9_SUMMARY; source_mode=M1_BAR_PROXY,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0005_9765D84F,2026-05-06,2026-05-06T00:05:00+00:00,2026-05-06T00:06:00+00:00,ASIAN_SESSION,RECOVERED_EXISTING_B9_SUMMARY,RECOVERED_EXISTING_B9_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,RECOVERED_FRICTION_ABSORPTION_LIKE,Friction type absorption: effort visible sans résultat directionnel propre.,Base scene: Friction type absorption: effort visible sans résultat directionnel propre. (RECOVERED_FRICTION_ABSORPTION_LIKE).,"Reaction raw frictionnelle: activite lisible avec deplacement contraint, delta -0.6 pips, range 3 pips, 88 ticks.","Projection faible: effort/rotation absorbe le deplacement, delta/range=0.20.","KEEP nuance: scene utile, raw nuance la lecture sans la durcir en confirmation.",NUANCED_BY_RAW,NUANCED_BY_RAW,NUANCED_BY_RAW,0.860,SOURCE_QUALITY_STRONG,SOURCE_QUALITY_STRONG,0.950,B6_KEEP_CANDIDATE,RAW_FRICTION_CONFIRMED,-0.6,3.0,88,FRICTION_ABSORPTION_MEMORY,FRICTION_ABSORPTION_MEMORY|RECOVERED_EXISTING_B9_SUMMARY|M1_BAR_PROXY|NUANCED_BY_RAW|RAW_FRICTION_CONFIRMED|SOURCE_QUALITY_STRONG,KEEP memoire: FRICTION_ABSORPTION_MEMORY; KEEP nuance: raw nuance la scene mais qualite/texture suffisantes pour comparaison B6; provenance RECOVERED_EXISTING_B9_SUMMARY; score memoire 0.950.,"Comparer les scenes d'effort visible sans resultat directionnel propre, absorption ou friction locale.",family=FRICTION_ABSORPTION_MEMORY; session=ASIAN_SESSION; raw_texture=RAW_FRICTION_CONFIRMED; raw_agreement=NUANCED_BY_RAW; source_quality=SOURCE_QUALITY_STRONG; source_family=RECOVERED_EXISTING_B9_SUMMARY; source_mode=M1_BAR_PROXY,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0006_D338C84D,2026-05-06,2026-05-06T00:06:00+00:00,2026-05-06T00:07:00+00:00,ASIAN_SESSION,RECOVERED_EXISTING_B9_SUMMARY,RECOVERED_EXISTING_B9_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,RECOVERED_FRICTION_ABSORPTION_LIKE,"Flux mixte: conserver comme lecture de contexte, pas comme décision.","Base scene: Flux mixte: conserver comme lecture de contexte, pas comme décision. (RECOVERED_FRICTION_ABSORPTION_LIKE).","Reaction raw frictionnelle: activite lisible avec deplacement contraint, delta 2.9 pips, range 3.4 pips, 94 ticks.",Projection directionnelle lisible: delta/range=0.85.,"KEEP nuance: scene utile, raw nuance la lecture sans la durcir en confirmation.",NUANCED_BY_RAW,NUANCED_BY_RAW,NUANCED_BY_RAW,0.860,SOURCE_QUALITY_STRONG,SOURCE_QUALITY_STRONG,0.950,B6_KEEP_CANDIDATE,RAW_FRICTION_CONFIRMED,2.9,3.4,94,FRICTION_ABSORPTION_MEMORY,FRICTION_ABSORPTION_MEMORY|RECOVERED_EXISTING_B9_SUMMARY|M1_BAR_PROXY|NUANCED_BY_RAW|RAW_FRICTION_CONFIRMED|SOURCE_QUALITY_STRONG,KEEP memoire: FRICTION_ABSORPTION_MEMORY; KEEP nuance: raw nuance la scene mais qualite/texture suffisantes pour comparaison B6; provenance RECOVERED_EXISTING_B9_SUMMARY; score memoire 0.950.,"Comparer les scenes d'effort visible sans resultat directionnel propre, absorption ou friction locale.",family=FRICTION_ABSORPTION_MEMORY; session=ASIAN_SESSION; raw_texture=RAW_FRICTION_CONFIRMED; raw_agreement=NUANCED_BY_RAW; source_quality=SOURCE_QUALITY_STRONG; source_family=RECOVERED_EXISTING_B9_SUMMARY; source_mode=M1_BAR_PROXY,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0007_32D97691,2026-05-06,2026-05-06T00:07:00+00:00,2026-05-06T00:08:00+00:00,ASIAN_SESSION,RECOVERED_EXISTING_B9_SUMMARY,RECOVERED_EXISTING_B9_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,RECOVERED_FRICTION_ABSORPTION_LIKE,"Flux mixte: conserver comme lecture de contexte, pas comme décision.","Base scene: Flux mixte: conserver comme lecture de contexte, pas comme décision. (RECOVERED_FRICTION_ABSORPTION_LIKE).","Reaction raw frictionnelle: activite lisible avec deplacement contraint, delta -2 pips, range 2.4 pips, 79 ticks.",Projection directionnelle lisible: delta/range=0.83.,"KEEP nuance: scene utile, raw nuance la lecture sans la durcir en confirmation.",NUANCED_BY_RAW,NUANCED_BY_RAW,NUANCED_BY_RAW,0.860,SOURCE_QUALITY_STRONG,SOURCE_QUALITY_STRONG,0.950,B6_KEEP_CANDIDATE,RAW_FRICTION_CONFIRMED,-2.0,2.4,79,FRICTION_ABSORPTION_MEMORY,FRICTION_ABSORPTION_MEMORY|RECOVERED_EXISTING_B9_SUMMARY|M1_BAR_PROXY|NUANCED_BY_RAW|RAW_FRICTION_CONFIRMED|SOURCE_QUALITY_STRONG,KEEP memoire: FRICTION_ABSORPTION_MEMORY; KEEP nuance: raw nuance la scene mais qualite/texture suffisantes pour comparaison B6; provenance RECOVERED_EXISTING_B9_SUMMARY; score memoire 0.950.,"Comparer les scenes d'effort visible sans resultat directionnel propre, absorption ou friction locale.",family=FRICTION_ABSORPTION_MEMORY; session=ASIAN_SESSION; raw_texture=RAW_FRICTION_CONFIRMED; raw_agreement=NUANCED_BY_RAW; source_quality=SOURCE_QUALITY_STRONG; source_family=RECOVERED_EXISTING_B9_SUMMARY; source_mode=M1_BAR_PROXY,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0008_3720A433,2026-05-06,2026-05-06T00:08:00+00:00,2026-05-06T00:09:00+00:00,ASIAN_SESSION,RECOVERED_EXISTING_B9_SUMMARY,RECOVERED_EXISTING_B9_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,RECOVERED_FRICTION_ABSORPTION_LIKE,"Flux mixte: conserver comme lecture de contexte, pas comme décision.","Base scene: Flux mixte: conserver comme lecture de contexte, pas comme décision. (RECOVERED_FRICTION_ABSORPTION_LIKE).","Reaction raw frictionnelle: activite lisible avec deplacement contraint, delta -0.8 pips, range 1.7 pips, 66 ticks.","Projection partielle: mouvement utile mais encore nuance par la texture, delta/range=0.47.","KEEP nuance: scene utile, raw nuance la lecture sans la durcir en confirmation.",NUANCED_BY_RAW,NUANCED_BY_RAW,NUANCED_BY_RAW,0.860,SOURCE_QUALITY_STRONG,SOURCE_QUALITY_STRONG,0.950,B6_KEEP_CANDIDATE,RAW_FRICTION_CONFIRMED,-0.8,1.7,66,FRICTION_ABSORPTION_MEMORY,FRICTION_ABSORPTION_MEMORY|RECOVERED_EXISTING_B9_SUMMARY|M1_BAR_PROXY|NUANCED_BY_RAW|RAW_FRICTION_CONFIRMED|SOURCE_QUALITY_STRONG,KEEP memoire: FRICTION_ABSORPTION_MEMORY; KEEP nuance: raw nuance la scene mais qualite/texture suffisantes pour comparaison B6; provenance RECOVERED_EXISTING_B9_SUMMARY; score memoire 0.950.,"Comparer les scenes d'effort visible sans resultat directionnel propre, absorption ou friction locale.",family=FRICTION_ABSORPTION_MEMORY; session=ASIAN_SESSION; raw_texture=RAW_FRICTION_CONFIRMED; raw_agreement=NUANCED_BY_RAW; source_quality=SOURCE_QUALITY_STRONG; source_family=RECOVERED_EXISTING_B9_SUMMARY; source_mode=M1_BAR_PROXY,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0009_00C9CFB0,2026-05-06,2026-05-06T00:09:00+00:00,2026-05-06T00:10:00+00:00,ASIAN_SESSION,RECOVERED_EXISTING_B9_SUMMARY,RECOVERED_EXISTING_B9_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,RECOVERED_FRICTION_ABSORPTION_LIKE,"Flux mixte: conserver comme lecture de contexte, pas comme décision.","Base scene: Flux mixte: conserver comme lecture de contexte, pas comme décision. (RECOVERED_FRICTION_ABSORPTION_LIKE).","Reaction raw frictionnelle: activite lisible avec deplacement contraint, delta 1.2 pips, range 1.3 pips, 71 ticks.",Projection directionnelle lisible: delta/range=0.92.,"KEEP nuance: scene utile, raw nuance la lecture sans la durcir en confirmation.",NUANCED_BY_RAW,NUANCED_BY_RAW,NUANCED_BY_RAW,0.860,SOURCE_QUALITY_STRONG,SOURCE_QUALITY_STRONG,0.950,B6_KEEP_CANDIDATE,RAW_FRICTION_CONFIRMED,1.2,1.3,71,FRICTION_ABSORPTION_MEMORY,FRICTION_ABSORPTION_MEMORY|RECOVERED_EXISTING_B9_SUMMARY|M1_BAR_PROXY|NUANCED_BY_RAW|RAW_FRICTION_CONFIRMED|SOURCE_QUALITY_STRONG,KEEP memoire: FRICTION_ABSORPTION_MEMORY; KEEP nuance: raw nuance la scene mais qualite/texture suffisantes pour comparaison B6; provenance RECOVERED_EXISTING_B9_SUMMARY; score memoire 0.950.,"Comparer les scenes d'effort visible sans resultat directionnel propre, absorption ou friction locale.",family=FRICTION_ABSORPTION_MEMORY; session=ASIAN_SESSION; raw_texture=RAW_FRICTION_CONFIRMED; raw_agreement=NUANCED_BY_RAW; source_quality=SOURCE_QUALITY_STRONG; source_family=RECOVERED_EXISTING_B9_SUMMARY; source_mode=M1_BAR_PROXY,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260506_0010_491F342D,2026-05-06,2026-05-06T00:10:00+00:00,2026-05-06T00:11:00+00:00,ASIAN_SESSION,RECOVERED_EXISTING_B9_SUMMARY,RECOVERED_EXISTING_B9_SUMMARY,M1_BAR_PROXY,RECONSTRUCTED,0.35,RECOVERED_FRICTION_ABSORPTION_LIKE,"Flux mixte: conserver comme lecture de contexte, pas comme décision.","Base scene: Flux mixte: conserver comme lecture de contexte, pas comme décision. (RECOVERED_FRICTION_ABSORPTION_LIKE).","Reaction raw frictionnelle: activite lisible avec deplacement contraint, delta -2.4 pips, range 3 pips, 81 ticks.",Projection directionnelle lisible: delta/range=0.80.,"KEEP nuance: scene utile, raw nuance la lecture sans la durcir en confirmation.",NUANCED_BY_RAW,NUANCED_BY_RAW,NUANCED_BY_RAW,0.860,SOURCE_QUALITY_STRONG,SOURCE_QUALITY_STRONG,0.950,B6_KEEP_CANDIDATE,RAW_FRICTION_CONFIRMED,-2.4,3.0,81,FRICTION_ABSORPTION_MEMORY,FRICTION_ABSORPTION_MEMORY|RECOVERED_EXISTING_B9_SUMMARY|M1_BAR_PROXY|NUANCED_BY_RAW|RAW_FRICTION_CONFIRMED|SOURCE_QUALITY_STRONG,KEEP memoire: FRICTION_ABSORPTION_MEMORY; KEEP nuance: raw nuance la scene mais qualite/texture suffisantes pour comparaison B6; provenance RECOVERED_EXISTING_B9_SUMMARY; score memoire 0.950.,"Comparer les scenes d'effort visible sans resultat directionnel propre, absorption ou friction locale.",family=FRICTION_ABSORPTION_MEMORY; session=ASIAN_SESSION; raw_texture=RAW_FRICTION_CONFIRMED; raw_agreement=NUANCED_BY_RAW; source_quality=SOURCE_QUALITY_STRONG; source_family=RECOVERED_EXISTING_B9_SUMMARY; source_mode=M1_BAR_PROXY,RECOVERED_EXISTING_B9_SUMMARY: recovered explicit B9 moments; shift0 raw alignment; proxy/reconstructed reading; not full footprint claim; NUANCED_BY_RAW: useful but not hard-confirmed raw; source_quality_raw=RECOVERED_EXISTING_B9_SUMMARY_SHIFT0_FULL_RAW_ALIGNMENT; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
