film_id,date,session,memory_family,moment_type,label_fr,raw_agreement,source_quality_state,raw_texture_role,priority_score,why_keep_for_memory,technical_limits
B6FC_20260507_0101_12593528,2026-05-07,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,FLOW_FRICTION_ABSORPTION_LIKE,Friction / absorption-like proxy,CONFIRMED_BY_RAW,SOURCE_QUALITY_STRONG,RAW_PROGRESS_CONFIRMED,1.0264,"KEEP memoire: FRICTION_ABSORPTION_MEMORY; KEEP prioritaire: scene confirmee raw, texture RAW_PROGRESS_CONFIRMED, provenance FORCE_SNAPSHOT_DERIVED, score memoire 0.950.",FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; CONFIRMED_BY_RAW: raw supports proxy reading; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260507_0201_64FDCE10,2026-05-07,ASIAN_SESSION,FRICTION_ABSORPTION_MEMORY,FLOW_FRICTION_ABSORPTION_LIKE,Friction / absorption-like proxy,CONFIRMED_BY_RAW,SOURCE_QUALITY_STRONG,RAW_PROGRESS_CONFIRMED,1.0264,"KEEP memoire: FRICTION_ABSORPTION_MEMORY; KEEP prioritaire: scene confirmee raw, texture RAW_PROGRESS_CONFIRMED, provenance FORCE_SNAPSHOT_DERIVED, score memoire 0.950.",FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; CONFIRMED_BY_RAW: raw supports proxy reading; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260507_0301_23872A18,2026-05-07,ASIAN_SESSION,DIRECTIONAL_PROGRESS_MEMORY,FLOW_ROTATIONAL,Rotation / respiration de zone,CONFIRMED_BY_RAW,SOURCE_QUALITY_STRONG,RAW_PROGRESS_CONFIRMED,1.0264,"KEEP memoire: DIRECTIONAL_PROGRESS_MEMORY; KEEP prioritaire: scene confirmee raw, texture RAW_PROGRESS_CONFIRMED, provenance FORCE_SNAPSHOT_DERIVED, score memoire 0.950.",FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; CONFIRMED_BY_RAW: raw supports proxy reading; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260507_0401_266B77FF,2026-05-07,ASIAN_SESSION,DIRECTIONAL_PROGRESS_MEMORY,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,CONFIRMED_BY_RAW,SOURCE_QUALITY_STRONG,RAW_PROGRESS_CONFIRMED,1.0264,"KEEP memoire: DIRECTIONAL_PROGRESS_MEMORY; KEEP prioritaire: scene confirmee raw, texture RAW_PROGRESS_CONFIRMED, provenance FORCE_SNAPSHOT_DERIVED, score memoire 0.950.",FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; CONFIRMED_BY_RAW: raw supports proxy reading; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260507_0501_2F8DC3A3,2026-05-07,ASIAN_SESSION,DIRECTIONAL_PROGRESS_MEMORY,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,CONFIRMED_BY_RAW,SOURCE_QUALITY_STRONG,RAW_PROGRESS_CONFIRMED,1.0264,"KEEP memoire: DIRECTIONAL_PROGRESS_MEMORY; KEEP prioritaire: scene confirmee raw, texture RAW_PROGRESS_CONFIRMED, provenance FORCE_SNAPSHOT_DERIVED, score memoire 0.950.",FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; CONFIRMED_BY_RAW: raw supports proxy reading; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260507_0701_A9330F01,2026-05-07,ASIA_LONDON_HANDOVER,DIRECTIONAL_PROGRESS_MEMORY,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,CONFIRMED_BY_RAW,SOURCE_QUALITY_STRONG,RAW_PROGRESS_CONFIRMED,1.0264,"KEEP memoire: DIRECTIONAL_PROGRESS_MEMORY; KEEP prioritaire: scene confirmee raw, texture RAW_PROGRESS_CONFIRMED, provenance FORCE_SNAPSHOT_DERIVED, score memoire 0.950.",FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; CONFIRMED_BY_RAW: raw supports proxy reading; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260507_1001_84D69526,2026-05-07,LONDON_IGNITION,DIRECTIONAL_PROGRESS_MEMORY,FLOW_DIRECTIONAL_DISPLACEMENT,Déplacement directionnel proxy,CONFIRMED_BY_RAW,SOURCE_QUALITY_STRONG,RAW_PROGRESS_CONFIRMED,1.0264,"KEEP memoire: DIRECTIONAL_PROGRESS_MEMORY; KEEP prioritaire: scene confirmee raw, texture RAW_PROGRESS_CONFIRMED, provenance FORCE_SNAPSHOT_DERIVED, score memoire 0.950.",FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; CONFIRMED_BY_RAW: raw supports proxy reading; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260507_1101_DF461CC5,2026-05-07,LONDON_MIDDAY_TRANSITION,DIRECTIONAL_PROGRESS_MEMORY,FLOW_ROTATIONAL,Rotation / respiration de zone,CONFIRMED_BY_RAW,SOURCE_QUALITY_STRONG,RAW_PROGRESS_CONFIRMED,1.0264,"KEEP memoire: DIRECTIONAL_PROGRESS_MEMORY; KEEP prioritaire: scene confirmee raw, texture RAW_PROGRESS_CONFIRMED, provenance FORCE_SNAPSHOT_DERIVED, score memoire 0.950.",FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; CONFIRMED_BY_RAW: raw supports proxy reading; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260507_1501_1425BC5D,2026-05-07,LONDON_NY_OVERLAP,DIRECTIONAL_PROGRESS_MEMORY,FLOW_ROTATIONAL,Rotation / respiration de zone,CONFIRMED_BY_RAW,SOURCE_QUALITY_STRONG,RAW_PROGRESS_CONFIRMED,1.0264,"KEEP memoire: DIRECTIONAL_PROGRESS_MEMORY; KEEP prioritaire: scene confirmee raw, texture RAW_PROGRESS_CONFIRMED, provenance FORCE_SNAPSHOT_DERIVED, score memoire 0.950.",FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; CONFIRMED_BY_RAW: raw supports proxy reading; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
B6FC_20260507_1601_E69D7629,2026-05-07,NY_AFTERNOON,DIRECTIONAL_PROGRESS_MEMORY,FLOW_ROTATIONAL,Rotation / respiration de zone,CONFIRMED_BY_RAW,SOURCE_QUALITY_STRONG,RAW_PROGRESS_CONFIRMED,1.0264,"KEEP memoire: DIRECTIONAL_PROGRESS_MEMORY; KEEP prioritaire: scene confirmee raw, texture RAW_PROGRESS_CONFIRMED, provenance FORCE_SNAPSHOT_DERIVED, score memoire 0.950.",FORCE_SNAPSHOT_DERIVED: reconstruction force_snapshots_v2; not recovered existing summary; proxy/reconstructed reading; not full footprint claim; CONFIRMED_BY_RAW: raw supports proxy reading; source_quality_raw=FULL_DAY_M1_PROXY; confidence_cap=0.35; read-only; no DB write; no dashboard; no Telegram; no BUY/SELL; T0113 film card is comparative memory only; no prediction; no BUY/SELL; no probability of success
