category,key,label_fr,short_fr,explanation_fr,attention_level,trader_usage_fr,technical_limit_fr
false_positive_context,B6_FALSE_POSITIVE_CONTEXT_HIGH,"Film proche, mais piège technique fort",Piège fort,"B6 rapproche les formes, T0117 signale une forte fragilité de comparaison.",BLOCKER,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
false_positive_context,B6_FALSE_POSITIVE_CONTEXT_LOW,"Film proche, piège technique faible",Piège faible,Peu de divergences techniques relevées par B6.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
false_positive_context,B6_FALSE_POSITIVE_CONTEXT_MEDIUM,"Film proche, piège technique moyen",Piège moyen,La comparaison est utile mais plusieurs écarts doivent rester visibles.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
false_positive_context,B9_FALSE_POSITIVE_CONTEXT_HIGH,"Film proche, mais piège technique fort",Piège fort,La ressemblance existe mais plusieurs conditions techniques divergent.,BLOCKER,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
false_positive_context,B9_FALSE_POSITIVE_CONTEXT_LOW,"Film proche, piège technique faible",Piège faible,"La ressemblance paraît utilisable, avec limites normales.",INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
false_positive_context,B9_FALSE_POSITIVE_CONTEXT_MEDIUM,"Film proche, piège technique moyen",Piège moyen,La ressemblance doit être lue avec prudence technique.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
false_positive_context,FALSE_POSITIVE_CONTEXT_NOT_PROVIDED,Contexte faux positif non fourni,Contexte absent,Le brief ne reçoit pas encore de contexte faux positif.,WATCH,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
false_positive_context,MEMORY_FP_HIGH,Risque de faux rapprochement fort,Faux proche fort,La mémoire ressemble au présent mais peut tromper la lecture.,BLOCKER,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
false_positive_context,MEMORY_FP_LOW,Risque de faux rapprochement faible,Faux proche faible,La mémoire comparable ne montre pas de piège majeur.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
memory_confidence_ladder,B6_KEEP_CANDIDATE,Film mémoire conservé,Film conservé,B6 garde ce film comme candidat mémoire.,INFO,"Affichage seulement : perception à lire, décision trader.",Contrat de traduction ; ne modifie aucune logique moteur.
