difference_rank,difference_type,current_marker,reference_marker,source_id,impact,technical_risk
1,REFERENCE_MARKER_ABSENT_FROM_CURRENT,,acceptance,B6_20260513_COUNTER_BREATH_REJECTED_SECOND_LEG_DOWN,Ne pas sur-lire la proximite memoire,film proche mais marqueur terrain absent
2,REFERENCE_MARKER_ABSENT_FROM_CURRENT,,after,B6_20260513_COUNTER_BREATH_REJECTED_SECOND_LEG_DOWN,Ne pas sur-lire la proximite memoire,film proche mais marqueur terrain absent
3,REFERENCE_MARKER_ABSENT_FROM_CURRENT,,b6_20260513_counter_breath_rejected_second_leg_down,B6_20260513_COUNTER_BREATH_REJECTED_SECOND_LEG_DOWN,Ne pas sur-lire la proximite memoire,film proche mais marqueur terrain absent
4,REFERENCE_MARKER_ABSENT_FROM_CURRENT,,center_low,B6_20260513_COUNTER_BREATH_REJECTED_SECOND_LEG_DOWN,Ne pas sur-lire la proximite memoire,film proche mais marqueur terrain absent
5,REFERENCE_MARKER_ABSENT_FROM_CURRENT,,center_stays_low,B6_20260513_COUNTER_BREATH_REJECTED_SECOND_LEG_DOWN,Ne pas sur-lire la proximite memoire,film proche mais marqueur terrain absent
6,CURRENT_MARKER_ABSENT_FROM_REFERENCE,absorption,,B6_20260513_COUNTER_BREATH_REJECTED_SECOND_LEG_DOWN,Scene actuelle partiellement hors film reference,comparaison incomplete
7,CURRENT_MARKER_ABSENT_FROM_REFERENCE,acceptation,,B6_20260513_COUNTER_BREATH_REJECTED_SECOND_LEG_DOWN,Scene actuelle partiellement hors film reference,comparaison incomplete
8,CURRENT_MARKER_ABSENT_FROM_REFERENCE,cannot,,B6_20260513_COUNTER_BREATH_REJECTED_SECOND_LEG_DOWN,Scene actuelle partiellement hors film reference,comparaison incomplete
9,CURRENT_MARKER_ABSENT_FROM_REFERENCE,cannot_conclude,,B6_20260513_COUNTER_BREATH_REJECTED_SECOND_LEG_DOWN,Scene actuelle partiellement hors film reference,comparaison incomplete
10,CURRENT_MARKER_ABSENT_FROM_REFERENCE,center_of_gravity_still_low,,B6_20260513_COUNTER_BREATH_REJECTED_SECOND_LEG_DOWN,Scene actuelle partiellement hors film reference,comparaison incomplete
11,REFERENCE_MARKER_ABSENT_FROM_CURRENT,,center_low,MCL_20260513_001,Ne pas sur-lire la proximite memoire,film proche mais marqueur terrain absent
12,REFERENCE_MARKER_ABSENT_FROM_CURRENT,,center_of_gravity_low,MCL_20260513_001,Ne pas sur-lire la proximite memoire,film proche mais marqueur terrain absent
13,REFERENCE_MARKER_ABSENT_FROM_CURRENT,,center_path_state,MCL_20260513_001,Ne pas sur-lire la proximite memoire,film proche mais marqueur terrain absent
14,REFERENCE_MARKER_ABSENT_FROM_CURRENT,,counter_breath,MCL_20260513_001,Ne pas sur-lire la proximite memoire,film proche mais marqueur terrain absent
15,REFERENCE_MARKER_ABSENT_FROM_CURRENT,,family,MCL_20260513_001,Ne pas sur-lire la proximite memoire,film proche mais marqueur terrain absent
16,CURRENT_MARKER_ABSENT_FROM_REFERENCE,absorption,,MCL_20260513_001,Scene actuelle partiellement hors film reference,comparaison incomplete
17,CURRENT_MARKER_ABSENT_FROM_REFERENCE,acceptation,,MCL_20260513_001,Scene actuelle partiellement hors film reference,comparaison incomplete
18,CURRENT_MARKER_ABSENT_FROM_REFERENCE,cannot,,MCL_20260513_001,Scene actuelle partiellement hors film reference,comparaison incomplete
19,CURRENT_MARKER_ABSENT_FROM_REFERENCE,cannot_conclude,,MCL_20260513_001,Scene actuelle partiellement hors film reference,comparaison incomplete
20,CURRENT_MARKER_ABSENT_FROM_REFERENCE,center_of_gravity_still_low,,MCL_20260513_001,Scene actuelle partiellement hors film reference,comparaison incomplete
